address, latitude, longitude
"7100 W CALIFORNIA AVE, Salt Lake City, Utah",0,0
"3200 W 2100 N, Salt Lake City, Utah",40.813119,-111.967911
"200 W GOLTZ AVE, Salt Lake City, Utah",40.745607,-111.8944848
"1500 S GREEN ST, Salt Lake City, Utah",40.736651,-111.872593
"000 S CENTRAL CAMPUS DR, Salt Lake City, Utah",0,0
"5900 S GREENWOOD DR, Salt Lake City, Utah",0,0
"IOLA AVE / CONCORD ST, Salt Lake City, Utah",0,0
"1000 E / 900 S, Salt Lake City, Utah",40.749709,-111.862149
"1900 W 5315 S, Salt Lake City, Utah",0,0
"1800 S 1700 E, Salt Lake City, Utah",40.7312246,-111.842376
"200 E 1700 S, Salt Lake City, Utah",40.733589,-111.896834
"1600 S ORCHARD DR, Salt Lake City, Utah",0,0
"SIMPSON AVE / 700 E, Salt Lake City, Utah",40.722108,-111.870949
"200 LIBERTY RD, Salt Lake City, Utah",0,0
"100 W HIDDEN VILLA RD, Salt Lake City, Utah",40.729373,-111.894098
"900 E BLAINE AVE, Salt Lake City, Utah",40.732452,-111.865168
"1500 N BARONESS ST, Salt Lake City, Utah",0,0
"600 N SIR MICHAEL DR, Salt Lake City, Utah",40.7890274,-111.9470553
"11000 S 1300 W, Salt Lake City, Utah",40.7643326,-111.9282668
"1000 S CONSTITUTION EAST DR, Salt Lake City, Utah",0,0
"1800 W FORTUNE RD, Salt Lake City, Utah",40.7398726001077,-111.94069865046
"1700 S ONEIDA ST, Salt Lake City, Utah",0,0
"1200 S ONTARIO DR, Salt Lake City, Utah",0,0
"1900 S WEST TEMPLE ST, Salt Lake City, Utah",0,0
"600 S 200 W, Salt Lake City, Utah",40.783517,-111.896716
"800 S 4800 W, Salt Lake City, Utah",40.7473085,-112.0059017
"1000 E 2ND AVE, Salt Lake City, Utah",40.771609,-111.859396
"300 S / 500 W, Salt Lake City, Utah",40.762691,-111.905497
"000 N 300 W, Salt Lake City, Utah",40.7800672,-111.8997689
"1300 W STETSON WAY, Salt Lake City, Utah",40.73331,-111.930517
"100 S HEATHER ST, Salt Lake City, Utah",40.765696,-111.872263
"00 W BROADWAY ST, Salt Lake City, Utah",0,0
"1100 E 900 S, Salt Lake City, Utah",40.750356,-111.922259
"900 S 600 W, Salt Lake City, Utah",40.749703,-111.873752
"500 E ISOM PL, Salt Lake City, Utah",40.773558,-111.873599
"000 N D ST, Salt Lake City, Utah",0,0
"000 S 1000 W, Salt Lake City, Utah",40.7800578,-111.9197047
"4200 W 1385 S, Salt Lake City, Utah",40.7795005,-111.9920191
"1200 E ZENITH AVE, Salt Lake City, Utah",0,0
"1900 N. 2000 W., Salt Lake City, Utah",40.8095642,-111.9388698
"1700 W I80 WESTBOUND FWY, Salt Lake City, Utah",0,0
"2500 S 1900 E, Salt Lake City, Utah",40.716507,-111.83677
"2500 W 3100 S, Salt Lake City, Utah",0,0
"600 N  I 15, Salt Lake City, Utah",40.7823818,-111.9011426
"400 S GREEN ST, Salt Lake City, Utah",40.75401,-111.872547
"1300 E 2100 S, Salt Lake City, Utah",40.725289,-111.853935
"1500 E MICHIGAN AVE, Salt Lake City, Utah",40.74771,-111.847764
"RIVERSIDE DR / 1000 N, Salt Lake City, Utah",40.790541931194,-111.937079744517
"SEGO AVE / ELY PL, Salt Lake City, Utah",0,0
"800 W 700 S, Salt Lake City, Utah",40.754192,-111.914125
"5TH AVE / B ST, Salt Lake City, Utah",0,0
"1000 N TERRACE HILLS DR, Salt Lake City, Utah",0,0
"3900 S STATE ST, Salt Lake City, Utah",0,0
"500 0/2 N 200 W, Salt Lake City, Utah",0,0
"400 N EAST CAPITAL BLVD, Salt Lake City, Utah",0,0
"1ST AVE / G ST, Salt Lake City, Utah",0,0
"500 W 1700 S, Salt Lake City, Utah",40.733588,-111.905744
"000 KENNEDY DR, Salt Lake City, Utah",40.748105,-111.8065336
"1100 E I80 EASTBOUND FWY, Salt Lake City, Utah",0,0
"5200 W POSTWOOD CIR, Salt Lake City, Utah",0,0
"3700 W TERMINAL NORTHBOUND DR, Salt Lake City, Utah",0,0
"2000 S DOUGLAS ST, Salt Lake City, Utah",0,0
"1100 E 800 S, Salt Lake City, Utah",40.752359721536,-111.922824665397
"900 S CHEYENNE ST, Salt Lake City, Utah",0,0
"600 E SOUTH TEMPLE ST, Salt Lake City, Utah",40.7694363,-111.849238
"300 E 9TH AVE, Salt Lake City, Utah",40.779562,-111.878896
"1700 W NOBILITY CIR, Salt Lake City, Utah",0,0
"SOUTH TEMPLE ST / R ST, Salt Lake City, Utah",0,0
"900 W 10400 S, Salt Lake City, Utah",40.7322365,-111.9168418
"2400 E EMERSON AVE, Salt Lake City, Utah",0,0
"200 E 200 N, Salt Lake City, Utah",40.7733858333333,-111.928213083333
"1300 E CRYSTAL AVE, Salt Lake City, Utah",0,0
"1500 E ARLINGTON DR, Salt Lake City, Utah",40.7751209992203,-111.845876930216
"1300 W IOLA AVE, Salt Lake City, Utah",40.761802,-111.927912296291
"1 S MAIN ST, Salt Lake City, Utah",40.769223,-111.890988
"00 W 400 S, Salt Lake City, Utah",40.7607319,-111.8910769
"2200 S 2200 E, Salt Lake City, Utah",40.723214,-111.82838
"1300 E BLAINE AVE, Salt Lake City, Utah",0,0
"400 S CACTUS ST, Salt Lake City, Utah",40.7607352,-111.8896604
"RAMBLER DR / AMERICAN BEAUTY DR, Salt Lake City, Utah",0,0
"500 S 800 E, Salt Lake City, Utah",40.758544,-111.915551
"300 E COATSVILLE AVE, Salt Lake City, Utah",40.731368,-111.882311
"2000 E HERBERT AVE, Salt Lake City, Utah",0,0
"200 N 3700 W, Salt Lake City, Utah",40.77368755,-111.897270771258
"3400 S PIONEER, Salt Lake City, Utah",0,0
"2300 E WESTMINSTER AVE, Salt Lake City, Utah",0,0
"1800 S 4370 W, Salt Lake City, Utah",40.7309042707328,-111.995679479957
"000 IVERSON ST, Salt Lake City, Utah",40.7551459,-111.881396
"900 N SIR JOSEPH WAY, Salt Lake City, Utah",0,0
"00 E GIRARD AVE, Salt Lake City, Utah",40.7815208,-111.8880026
"800 W FREMONT AVE, Salt Lake City, Utah",0,0
"100 W 200 N, Salt Lake City, Utah",40.772712,-111.927996
"300 S VINCENT CT, Salt Lake City, Utah",0,0
"6100 W 2100 S, Salt Lake City, Utah",40.7256785839366,-112.039923517429
"3900 WEST 800 NORTH, Salt Lake City, Utah",40.7866125,-111.920073
"600 N F ST, Salt Lake City, Utah",40.783155,-111.875946
"600 S 4050 W, Salt Lake City, Utah",40.7569194,-111.9901135
