<<<<<<< HEAD
CASE,UCR CODE,UCR DESCRIPTION,IBR CODE,OCCUR DATE,MONTH OCCURED,YEAR OCCURED,TIME OF OCCURENCE,REPORT DATE,DAY OF WEEK,LOCATION,CITY,CITY COUNCIL,POLICE ZONE,POLICE GRID,X COORDINATE,Y COORDINATE,LATITUDE,LONGITUDE
SL200828,5404-0,TRAFFIC,90D,1/1/2008,JAN, 2008, 15:00, 1/1/2008,2,200 W 400 S,SALT LAKE CITY,4,112,DTN,1890050,884431,40.76055,-111.88532
SL200839,2305-0,LARCENY,23F,1/2/2008,FEB, 2008, 16:00, 1/1/2008,4,100 W PIERPONT AVE,SALT LAKE CITY,4,113,DTN,1890717,885557,40.7639,-111.91969
SL200811,1313-0,ASSAULT,13B,1/1/2008,JAN, 2008, 15:00, 1/1/2008,1,1700 S 200 E,SALT LAKE CITY,5,234,LIW,1893380,874196,40.76414,-111.88534
SL200814,5404-0,TRAFFIC,90D,1/2/2008,FEB, 2008, 09:00, 1/1/2008,3,900 S 600 W,SALT LAKE CITY,4,114,PEF,1887064,880472,40.74979,-111.90809
SL200860,5401-0,TRAFFIC,90Z,1/2/2008,FEB, 2008, 15:00, 1/1/2008,4,900 S 1200 E,SALT LAKE CITY,5,232,EAC,1901385,880298,40.73217,-111.85685
SL200886,5404-0,TRAFFIC,90D,1/1/2008,JAN, 2008, 12:00, 1/1/2008,3,200 S 300 W,SALT LAKE CITY,4,112,DTN,1889520,885315,40.71103,-111.8968
SL200840,2202-0,LARCENY,220,1/12/2008,DEC, 2008, 16:00, 1/1/2008,4,700 E 800 S   ,SALT LAKE CITY,4,215,EAC,1897868,881174,40.75192,-111.87077
SL200842,2902-1,ASSAULT,290,1/12/2008,DEC, 2008, 09:00, 1/1/2008,5,700 N 900 W,SALT LAKE CITY,1,131,ROP,1884800,893292,40.7874,-111.95555
SL200859,2499-13,ASSAULT,240,1/3/2008,MAR, 2008, 09:00, 1/1/2008,6,100 W 200 S,SALT LAKE CITY,4,113,DTN,1890645,885955,40.76494,-111.89407
SL200879,2305-0,LARCENY,23F,1/3/2008,MAR, 2008, 12:00, 1/1/2008,5,100 W PIERPONT AVE,SALT LAKE CITY,4,113,DTN,1890717,885557,40.763901,-111.919693
=======
CASE,UCR CODE,UCR DESCRIPTION,IBR CODE,OCCUR DATE,MONTH OCCURED,YEAR OCCURED,TIME OF OCCURENCE,REPORT DATE,DAY OF WEEK,LOCATION,CITY,CITY COUNCIL,POLICE ZONE,POLICE GRID,X COORDINATE,Y COORDINATE,LATITUDE,LONGITUDE
SL200828,5404-0,TRAFFIC,90D,1/1/2008,JAN, 2008, 15:00, 1/1/2008,2,200 W 400 S,SALT LAKE CITY,4,112,DTN,1890050,884431,40.76055,-111.88532
SL200839,2305-0,LARCENY,23F,1/2/2008,FEB, 2008, 16:00, 1/1/2008,4,100 W PIERPONT AVE,SALT LAKE CITY,4,113,DTN,1890717,885557,40.7639,-111.91969
SL200811,1313-0,ARSON,13B,1/1/2008,JAN, 2008, 15:00, 1/1/2008,1,1700 S 200 E,SALT LAKE CITY,5,234,LIW,1893380,874196,40.76414,-111.88534
SL200814,5404-0,TRAFFIC,90D,1/2/2008,FEB, 2008, 09:00, 1/1/2008,3,900 S 600 W,SALT LAKE CITY,4,114,PEF,1887064,880472,40.74979,-111.90809
SL200860,5401-0,TRAFFIC,90Z,1/2/2008,FEB, 2008, 15:00, 1/1/2008,4,900 S 1200 E,SALT LAKE CITY,5,232,EAC,1901385,880298,40.73217,-111.85685
SL200886,5404-0,TRAFFIC,90D,1/1/2008,JAN, 2008, 12:00, 1/1/2008,3,200 S 300 W,SALT LAKE CITY,4,112,DTN,1889520,885315,40.71103,-111.8968
SL200840,2202-0,LARCENY,220,1/12/2008,DEC, 2008, 16:00, 1/1/2008,4,700 E 800 S   ,SALT LAKE CITY,4,215,EAC,1897868,881174,40.75192,-111.87077
SL200842,2902-1,ARSON,290,1/12/2008,DEC, 2008, 09:00, 1/1/2008,5,700 N 900 W,SALT LAKE CITY,1,131,ROP,1884800,893292,40.7874,-111.95555
SL200859,2499-13,ARSON,240,1/3/2008,MAR, 2008, 09:00, 1/1/2008,6,100 W 200 S,SALT LAKE CITY,4,113,DTN,1890645,885955,40.76494,-111.89407
SL200879,2305-0,LARCENY,23F,1/3/2008,MAR, 2008, 12:00, 1/1/2008,5,100 W PIERPONT AVE,SALT LAKE CITY,4,113,DTN,1890717,885557,40.763901,-111.919693
>>>>>>> a13a1190dda11c6748cf8e6c788be19c8a0f90b3
