DESCRIPTION,DAY,MONTH,YEAR,TOD,DOW,ADDRESS,LATITUDE,LONGITUDE
Traffic,1,1,2009,,5,500 S WEST TEMPLE ST ,40.75915,-111.898112
Traffic,1,1,2009,,5,400 S 200 W ,40.76058610000001,-111.8968186
Traffic,1,1,2009,,5,000 W 300 S ,40.760345,-112.03592
Traffic,1,1,2009,,5,800 S MAIN ST ,40.7519553,-111.8910857
Traffic,1,1,2009,,5,100 W 200 S ,40.7650126,-111.8939916
Traffic,1,1,2009,,5,600 E 400 S ,40.7605673,-111.8738543
Traffic,1,1,2009,,5,900 E 800 S ,40.751962,-111.8652801
Traffic,1,1,2009,,5,400 S 400 W ,40.7606489,-111.9026322
Traffic,1,1,2009,,5,700 S WEST TEMPLE ST ,40.7539346,-111.89396409999998
Traffic,1,1,2009,,5,900 E 400 S ,40.76123,-111.8647644
Traffic,1,1,2009,,5,500 S 500 W ,40.7570146,-111.9059894
Traffic,1,1,2009,,5,500 S 300 W ,40.7584786,-111.8997831
Burglary/ Larceny/ Robbery,1,1,2009,,5,500 E 2100 S ,40.725607,-111.8771244
Burglary/ Larceny/ Robbery,1,1,2009,,5,1700 S 300 W ,40.7318946,-111.8996992
Traffic,1,1,2009,,5,500 N TERMINAL NORTHBOUND DR ,40.7899404,-111.9790706
Burglary/ Larceny/ Robbery,1,1,2009,,5,400 N 400 W ,40.778185,-111.903605
Assault,1,1,2009,,5,100 N 900 W ,40.7717239,-111.9167242
Burglary/ Larceny/ Robbery,1,1,2009,,5,200 W 300 S ,40.76290729999999,-111.896798
Assault,1,1,2009,,5,600 N 900 W ,40.7823809,-111.9168388
Assault,1,1,2009,,5,1500 W 400 S ,40.760849,-111.93405020000002
Burglary/ Larceny/ Robbery,1,1,2009,,5,2000 S 900 W ,40.7272795,-111.9177975
Traffic,1,1,2009,,5,300 N CENTER ST ,40.7759674,-111.8925239
Assault,1,1,2009,,5,600 N OAKLEY ST ,40.7824198,-111.9269971
Assault,1,1,2009,,5,200 E 300 S ,40.7624966,-111.8852983
Assault,1,1,2009,,5,1500 W 2100 S ,40.7260081,-111.9363876
Damaged Property,1,1,2009,,5,800 S 500 E ,40.7519538,-111.8767923
Burglary/ Larceny/ Robbery,1,1,2009,,5,1100 N REDWOOD RD ,40.7934489,-111.9391747
Damaged Property,1,1,2009,,5,400 N 200 W ,40.7787937,-111.8967377
Assault,1,1,2009,,5,300 S 300 E ,40.76269080000001,-111.8828278
