CASE,UCR CODE,UCR DESCRIPTION,IBR CODE,OCCUR DATE,REPORT DATE,DAY OF WEEK,LOCATION                                                                                            ,CITY,CITY COUNCIL,POLICE ZONE,POLICE GIRD,X COORDINATE,Y COORDINATE,LATITUDE,LONGITUDE
SL201011,5499-0,TRAFFIC,90Z,1/1/2010 0:00,1/1/2010 0:00,6,100 S 600 E                                                                                             ,SALT LAKE CITY,4,212,CEC,1896600,886578,40.767097,-111.873757
SL201044,5404-0,TRAFFIC,90D,1/1/2010 0:00,1/1/2010 0:00,6,200 W 200 S                                                                                             ,SALT LAKE CITY,4,112,DTN,1890110,886017,40.76492,-111.885204
SL201071,5404-0,TRAFFIC,90D,1/1/2010 0:00,1/1/2010 0:00,6,500 W 100 S                                                                                             ,SALT LAKE CITY,4,112,DTN,1887737,886818,40.767042,-111.905594
SL2010102,5499-12,TRAFFIC,0,1/1/2010 0:00,1/1/2010 0:00,6,200 W 500 S                                                                                             ,SALT LAKE CITY,4,114,DTN,1889644,883641,40.75848,-111.89573
SL201094,5401-0,TRAFFIC,90Z,1/1/2010 0:00,1/1/2010 0:00,6,1000 E 1700 S                                                                                            ,SALT LAKE CITY,7,235,SUG,1899779,874442,40.733424,-111.862296
SL2010118,5499-5,TRAFFIC,0,1/1/2010 0:00,1/1/2010 0:00,6,300 E 600 S                                                                                             ,SALT LAKE CITY,4,214,CEC,1894641,882771,40.756185,-111.882604
SL201054,910 -0,HOMICIDE,09B,1/1/2010 0:00,1/1/2010 0:00,6,400 N REDWOOD RD                                                                                        ,SALT LAKE CITY,2,132,JOM,1878546,891157,40.77827,-111.939276
SL20108,1305-0,ASSAULT,13A,1/1/2010 0:00,1/1/2010 0:00,6,700 S STATE ST                                                                                          ,SALT LAKE CITY,4,115,PEF,1892617,881794,40.533089,-111.891517
SL2010101,4902-0,ESCAPE,90Z,1/1/2010 0:00,1/1/2010 0:00,6,2100 S MAIN ST                                                                                           ,SALT LAKE CITY,5,234,PEF,1891786,871570,40.72531,-111.891199
SL201039,1313-0,ASSAULT,13B,1/1/2010 0:00,1/1/2010 0:00,6,300 N J ST                                                                                              ,SALT LAKE CITY,3,211,AVE,1897712,890253,40.776353,-111.869958
